YEAR,START_DATE,END_DATE,JURISDICTION,LOCATION,AGE_GROUP,METRIC,DETECTION_METHOD,FINES,ARRESTS,CHARGES
2021,1/01/2021,31/12/2021,QLD,All regions,All ages,mobile_phone_use,Fixed or mobile camera,14574,,
2021,1/01/2021,31/12/2021,SA,All regions,All ages,mobile_phone_use,Police issued,4799,,
2021,1/01/2021,31/12/2021,TAS,All regions,All ages,mobile_phone_use,Police issued,2328,,
2021,1/01/2021,31/12/2021,VIC,All regions,All ages,mobile_phone_use,Police issued,15562,,
2021,1/01/2021,31/12/2021,WA,All regions,All ages,mobile_phone_use,Police issued,4909,,
2022,1/01/2022,31/12/2022,ACT,All regions,All ages,mobile_phone_use,Police issued,374,,
2022,1/01/2022,31/12/2022,NSW,All regions,All ages,mobile_phone_use,Police issued,12904,,
2022,1/01/2022,31/12/2022,NSW,All regions,All ages,mobile_phone_use,Fixed or mobile camera,194793,,
2022,1/01/2022,31/12/2022,NT,All regions,All ages,mobile_phone_use,Police issued,302,,
2022,1/01/2022,31/12/2022,QLD,All regions,All ages,mobile_phone_use,Police issued,3487,,
2022,1/01/2022,31/12/2022,QLD,All regions,All ages,mobile_phone_use,Fixed or mobile camera,118152,,
2022,1/01/2022,31/12/2022,SA,All regions,All ages,mobile_phone_use,Police issued,4583,,
2022,1/01/2022,31/12/2022,TAS,All regions,All ages,mobile_phone_use,Police issued,1973,,
2022,1/01/2022,31/12/2022,VIC,All regions,All ages,mobile_phone_use,Police issued,19428,,
2022,1/01/2022,31/12/2022,WA,All regions,All ages,mobile_phone_use,Police issued,6346,,
2023,1/01/2023,31/01/2023,ACT,Major Cities of Australia,17-25,mobile_phone_use,Police issued,8,,
2023,1/01/2023,31/01/2023,ACT,Major Cities of Australia,26-39,mobile_phone_use,Police issued,8,,
2023,1/01/2023,31/01/2023,ACT,Major Cities of Australia,40-64,mobile_phone_use,Police issued,12,,
2023,1/01/2023,31/01/2023,NSW,Inner Regional Australia,17-25,mobile_phone_use,Police issued,55,,0
2023,1/01/2023,31/01/2023,NSW,Inner Regional Australia,26-39,mobile_phone_use,Police issued,54,,1
2023,1/01/2023,31/01/2023,NSW,Inner Regional Australia,40-64,mobile_phone_use,Police issued,43,,1
2023,1/01/2023,31/01/2023,NSW,Inner Regional Australia,65 and over,mobile_phone_use,Police issued,6,,0
2023,1/01/2023,31/01/2023,NSW,Major Cities of Australia,17-25,mobile_phone_use,Police issued,270,,5
2023,1/01/2023,31/01/2023,NSW,Major Cities of Australia,26-39,mobile_phone_use,Police issued,335,,6
2023,1/01/2023,31/01/2023,NSW,Major Cities of Australia,40-64,mobile_phone_use,Police issued,200,,4
2023,1/01/2023,31/01/2023,NSW,Major Cities of Australia,65 and over,mobile_phone_use,Police issued,31,,0
2023,1/01/2023,31/01/2023,NSW,Outer Regional Australia,17-25,mobile_phone_use,Police issued,6,,0
2023,1/01/2023,31/01/2023,NSW,Outer Regional Australia,26-39,mobile_phone_use,Police issued,8,,0
2023,1/01/2023,31/01/2023,NSW,Outer Regional Australia,40-64,mobile_phone_use,Police issued,9,,0
2023,1/01/2023,31/01/2023,NSW,Outer Regional Australia,65 and over,mobile_phone_use,Police issued,1,,0
2023,1/01/2023,31/01/2023,NSW,Remote Australia,40-64,mobile_phone_use,Police issued,1,,0
2023,1/01/2023,31/01/2023,NSW,Unknown,26-39,mobile_phone_use,Police issued,1,,0
2023,1/01/2023,31/01/2023,NSW,Unknown,Unknown,mobile_phone_use,Fixed or mobile camera,17080,,
2023,1/01/2023,31/01/2023,NT,Unknown,17-25,mobile_phone_use,Police issued,3,0,0
2023,1/01/2023,31/01/2023,NT,Unknown,26-39,mobile_phone_use,Police issued,7,0,0
2023,1/01/2023,31/01/2023,NT,Unknown,40-64,mobile_phone_use,Police issued,8,0,0
2023,1/01/2023,31/01/2023,NT,Unknown,65 and over,mobile_phone_use,Police issued,3,0,0
2023,1/01/2023,31/01/2023,SA,Unknown,0-16,mobile_phone_use,Police issued,1,,
2023,1/01/2023,31/01/2023,SA,Unknown,17-25,mobile_phone_use,Police issued,106,,
2023,1/01/2023,31/01/2023,SA,Unknown,26-39,mobile_phone_use,Police issued,182,,
2023,1/01/2023,31/01/2023,SA,Unknown,40-64,mobile_phone_use,Police issued,117,,
2023,1/01/2023,31/01/2023,SA,Unknown,65 and over,mobile_phone_use,Police issued,20,,
2023,1/01/2023,31/01/2023,SA,Unknown,Unknown,mobile_phone_use,Police issued,0,,
2023,1/01/2023,31/01/2023,TAS,Unknown,17-25,mobile_phone_use,Police issued,27,,0
2023,1/01/2023,31/01/2023,TAS,Unknown,26-39,mobile_phone_use,Police issued,63,,4
2023,1/01/2023,31/01/2023,TAS,Unknown,40-64,mobile_phone_use,Police issued,28,,1
2023,1/01/2023,31/01/2023,TAS,Unknown,65 and over,mobile_phone_use,Police issued,7,,0
2023,1/01/2023,31/01/2023,VIC,Inner Regional Australia,0-16,mobile_phone_use,Police issued,1,,
2023,1/01/2023,31/01/2023,VIC,Inner Regional Australia,17-25,mobile_phone_use,Police issued,47,,
2023,1/01/2023,31/01/2023,VIC,Inner Regional Australia,26-39,mobile_phone_use,Police issued,55,,
2023,1/01/2023,31/01/2023,VIC,Inner Regional Australia,40-64,mobile_phone_use,Police issued,41,,
2023,1/01/2023,31/01/2023,VIC,Inner Regional Australia,65 and over,mobile_phone_use,Police issued,7,,
2023,1/01/2023,31/01/2023,VIC,Major Cities of Australia,0-16,mobile_phone_use,Police issued,1,,
2023,1/01/2023,31/01/2023,VIC,Major Cities of Australia,17-25,mobile_phone_use,Police issued,298,,
2023,1/01/2023,31/01/2023,VIC,Major Cities of Australia,26-39,mobile_phone_use,Police issued,654,,
2023,1/01/2023,31/01/2023,VIC,Major Cities of Australia,40-64,mobile_phone_use,Police issued,406,,
2023,1/01/2023,31/01/2023,VIC,Major Cities of Australia,65 and over,mobile_phone_use,Police issued,38,,
2023,1/01/2023,31/01/2023,VIC,Outer Regional Australia,17-25,mobile_phone_use,Police issued,7,,
